"structure_number","county","facility_carried","location","year_built","bridge_age","deck_rating","superstructure_rating","substructure_rating","lowest_rating","bridge_condition","daily_traffic","percent_truck_traffic","poor_condition"
"S080 44575     ",55,"'NB-RP TO I680 BR#3'","'IN OMAHA'",1993,33,"7","8","8",7,"G",150360,8,FALSE
"S080 44576     ",55,"'EB-CDN TO I680 BR4'","'IN OMAHA'",1994,32,"8","8","8",8,"G",150360,8,FALSE
"S080 44577     ",55,"'EB-CD TO EB-I80 #5'","'IN OMAHA'",1994,32,"7","8","8",7,"G",150360,8,FALSE
"S080 44602     ",55,"'WB-CD ROAD BRG #8'","'IN OMAHA'",1996,30,"7","7","7",7,"G",169605,7,FALSE
"S080 44606L    ",55,"'WB-I80  BRG #7W'","'IN OMAHA'",1995,31,"6","8","8",6,"F",169605,7,FALSE
"S080 44606R    ",55,"'EB-I80  BRG #7E'","'IN OMAHA'",1995,31,"8","8","7",7,"G",169605,7,FALSE
"S080 44625     ",55,"'108TH ST/FAU 5011'","'IN OMAHA'",1994,32,"6","7","7",6,"F",10935,0,FALSE
"S080 44725     ",55,"'96TH ST/FAU 5017'","'IN OMAHA'",1988,38,"6","7","7",6,"F",10260,0,FALSE
"S080 44827L    ",55,"'WB-I80'","'84TH ST INTERCHG'",1961,65,"8","8","8",8,"G",169605,7,FALSE
"S080 44827R    ",55,"'EB-I80'","'84TH ST INTERCHG'",1961,65,"8","7","7",7,"G",169605,7,FALSE
"S080 44846A    ",55,"'WB-I80 OFF RAMP'","'I80 @ BIG PAPILLION CR'",1988,38,"6","8","8",6,"F",174380,7,FALSE
"S080 44846L    ",55,"'WB-I80'","'IN OMAHA'",1961,65,"8","8","8",8,"G",174380,7,FALSE
"S080 44846R    ",55,"'EB-I80'","'OMAHA I80 @ 82ND ST'",1961,65,"8","8","8",8,"G",174380,7,FALSE
"S080 44927L    ",55,"'WB-I80'","'72ND ST INTRCHG'",1961,65,"6","8","8",6,"F",174380,7,FALSE
"S080 44927R    ",55,"'EB-I80'","'72ND ST INTRCHG'",1961,65,"6","7","7",6,"F",174380,7,FALSE
"S080 44984     ",55,"'I80'","'IN OMAHA'",1994,32,"8","8","8",8,"G",182320,7,FALSE
"S080 45028L    ",55,"'WB-I80'","'60TH ST INTRCHG'",1962,64,"6","8","7",6,"F",182320,7,FALSE
"S080 45028R    ",55,"'EB-I80'","'60TH ST INTRCHG'",1962,64,"6","8","8",6,"F",182320,7,FALSE
"S080 45103L    ",55,"'WB-I80'","'IN OMAHA'",1962,64,"7","7","7",7,"G",180990,7,FALSE
"S080 45103R    ",55,"'EB-I80'","'IN OMAHA'",1962,64,"8","8","7",7,"G",180990,7,FALSE
"S080 45180L    ",55,"'WB-I80'","'42ND ST INTRCHG'",1962,64,"7","8","8",7,"G",180990,7,FALSE
"S080 45180R    ",55,"'EB-I80'","'42ND ST INTRCHG'",1989,37,"9","7","8",7,"G",180990,7,FALSE
"S080 45231     ",55,"'36TH ST'","'IN OMAHA'",1988,38,"6","7","8",6,"F",3000,10,FALSE
"S080 45252     ",55,"'I80/RMP 50/RMP 40'","'IN OMAHA'",1962,64,"6","8","7",6,"F",176745,7,FALSE
"S080 45266     ",55,"'32ND AVE/FAU 5063'","'JCT 32ND AVE/I80 OMAHA'",1988,38,"8","8","7",7,"G",4140,0,FALSE
